path,has_ru_header,has_en_summary,last_reviewed,lines
emacs/base/modules/chat.el,0,0,,7
emacs/base/modules/core.el,0,0,,9
emacs/base/modules/keys.el,0,0,,6
emacs/base/modules/nav.el,0,0,,6
emacs/base/modules/package-bootstrap.el,0,0,,6
emacs/base/modules/packages.el,0,0,,7
emacs/base/modules/pro-agent-shell.el,0,0,,112
emacs/base/modules/pro-agent.el,0,0,,23
emacs/base/modules/pro-ai.el,0,0,,323
emacs/base/modules/pro-c.el,0,0,,21
emacs/base/modules/pro-chat.el,0,0,,12
emacs/base/modules/pro-compat.el,0,0,,67
emacs/base/modules/pro-completion-keys.el,0,0,,39
emacs/base/modules/pro-completion.el,0,0,,121
emacs/base/modules/pro-consult-helpers.el,0,0,,110
emacs/base/modules/pro-core.el,0,0,,49
emacs/base/modules/pro-dired.el,0,0,,67
emacs/base/modules/pro-emacs-check-fonts.el,0,0,,22
emacs/base/modules/pro-exwm-sim.el,0,0,,46
emacs/base/modules/pro-exwm.el,0,0,,13
emacs/base/modules/pro-feeds.el,0,0,,13
emacs/base/modules/pro-fix-corfu.el,0,0,,56
emacs/base/modules/pro-git.el,0,0,,31
emacs/base/modules/pro-haskell.el,0,0,,20
emacs/base/modules/pro-java.el,0,0,,23
emacs/base/modules/pro-js.el,0,0,,32
emacs/base/modules/pro-key-utils.el,0,0,,30
emacs/base/modules/pro-keys.el,0,0,,292
emacs/base/modules/pro-lisp.el,0,0,,29
emacs/base/modules/pro-nav.el,0,0,,222
emacs/base/modules/pro-nix-refresh.el,0,0,,17
emacs/base/modules/pro-nix.el,0,0,,25
emacs/base/modules/pro-org.el,0,0,,64
emacs/base/modules/pro-package-bootstrap.el,0,0,,67
emacs/base/modules/pro-packages.el,0,0,,239
emacs/base/modules/pro-project.el,0,0,,99
emacs/base/modules/pro-python.el,0,0,,26
emacs/base/modules/pro-reload.el,0,0,,84
emacs/base/modules/pro-session.el,0,0,,56
emacs/base/modules/pro-startup-metrics.el,0,0,,30
emacs/base/modules/pro-tabs.el,0,0,,83
emacs/base/modules/pro-terminals.el,0,0,,85
emacs/base/modules/pro-test-helpers.el,0,0,,31
emacs/base/modules/pro-tests-keys.el,0,0,,27
emacs/base/modules/pro-tests.el,0,0,,88
emacs/base/modules/pro-text.el,0,0,,27
emacs/base/modules/pro-ui-completion.el,0,0,,47
emacs/base/modules/pro-ui-fonts.el,0,0,,40
emacs/base/modules/pro-ui-fringes.el,0,0,,17
emacs/base/modules/pro-ui-icons.el,0,0,,21
emacs/base/modules/pro-ui-improvements.el,0,0,,23
emacs/base/modules/pro-ui-modeline.el,0,0,,35
emacs/base/modules/pro-ui-theme.el,0,0,,36
emacs/base/modules/pro-ui-tty.el,0,0,,38
emacs/base/modules/pro-ui.el,0,0,,301
emacs/base/modules/pro-vterm-theme.el,0,0,,18
emacs/base/modules/pro-windows.el,0,0,,58
emacs/base/modules/ui.el,0,0,,7
emacs/base/provided-packages.el,0,0,,13
emacs/base/site-init.el,0,0,,186
emacs/base/tests/test-dired.el,0,0,,14
emacs/base/tests/test-packages-provided.el,1,0,,84
